( arctic_0 "Горами хвилю підійма." )
( arctic_1 "То виринав, то потопав." )
( arctic_2 "Та ясен раз у раз скрипів." )
( arctic_3 "Щось біле блукає." )
( arctic_4 "А може, жде козаченька, Щоб залоскотати." )
( arctic_5 "Й сама не зна (бо причинна), Що такеє робить." )
( arctic_6 "Щоб, бач, ходя опівночі, Спала й виглядала Козаченька молодого, Що торік покинув." )
( arctic_7 "Та, мабуть, і згинув!" )
( arctic_8 "Біле тіло вовки з’їли — Така його доля." )
( arctic_9 "Дарма щоніч дівчинонька Його виглядає." )
( arctic_10 "О Боже мій милий! За що ж ти караєш ЇЇ, молоду?" )
( arctic_11 "За те, що так щиро вона полюбила Козацькії очі?.. Прости сироту!" )
( arctic_12 "Кого ж їй любити?" )
( arctic_13 "Одна, як та пташка в далекім краю." )
( arctic_14 "Бо люде чужії її засміють." )
( arctic_15 "Чи винна ж голубка, що голуба любить?" )
( arctic_16 "Чи винен той голуб, що сокіл убив?" )
( arctic_17 "Літає, шукає, дума — заблудив." )
( arctic_18 "Полине до Бога — милого питать." )
( arctic_19 "Її, чорнобриву, уже забува?" )
( arctic_20 "А до неживого у яму б лягла." )
( arctic_21 "Воно жить не хоче, не хоче журиться." )
( arctic_22 "О Боже мій милий! така твоя воля, Таке її щастя, така її доля!" )
( arctic_23 "Вона все ходить, з уст ні пари." )
( arctic_24 "Ліг біля моря одпочить." )
( arctic_25 "Кругом, як в усі, все мовчить." )
( arctic_26 "Аж гульк — з Дніпра повиринали Малії діти, сміючись." )
( arctic_27 "Ходім шукати вечерять." )
( arctic_28 "Ух! Солом’яний дух, дух!" )
( arctic_29 "Нехрещену положила." )
( arctic_30 "Місяченьку! Наш голубоньку!" )
( arctic_31 "Знайшли вчора у діброві." )
( arctic_32 "Світи довше в чистім полі, Щоб нагулятись доволі." )
( arctic_33 "Посвіти нам..." )
( arctic_34 "Он щось ходить!" )
( arctic_35 "Он під дубом щось там робить." )
( arctic_36 "Ух! Солом’яний дух, дух! Мене мати породила, Нехрещену положила»." )
( arctic_37 "Зареготались нехрещені..." )
( arctic_38 "Летять до дуба... Нічичирк..." )
( arctic_39 "До самого краю." )
( arctic_40 "Отаку-то їй причину Ворожка зробила!" )
( arctic_41 "На самий верх на гіллячці Стала... В серце коле! Подивилась на всі боки Та й лізе додолу." )
( arctic_42 "Взяли її, сердешную, Та й залоскотали." )
( arctic_43 "Довго, довго дивовались На її уроду..." )
( arctic_44 "Треті півні: кукуріку! — Шелеснули в воду." )
( arctic_45 "Плугатир співає." )
( arctic_46 "Пішов шелест по діброві; Шепчуть густі лози." )
( arctic_47 "А дівчина спить під дубом При битій дорозі." )
( arctic_48 "Знать, добре заснула." )
( arctic_49 "Під ним коник вороненький Насилу ступає." )
( arctic_50 "Близько хата, де дівчина Ворота одчинить." )
( arctic_51 "А може, вже одчинила — Не мені, другому..." )
( arctic_52 "Коло серця козацького Як гадина в’ється." )
( arctic_53 "Кличе її та цілує..." )
( arctic_54 "Зареготавсь, розігнався — Та в дуб головою!" )
( arctic_55 "Козак та дівчина лежить." )
( arctic_56 "Коли подивляться, що вбитий, — З переполоху ну втікать!" )
( arctic_57 "Прийшли попи з корогвами, Задзвонили дзвони." )
( arctic_58 "Насипали край дороги Дві могили в житі." )
( arctic_59 "Нема кому запитати, За що їх убито." )
( arctic_60 "А в головах у дівчини Червону калину." )
